artist_name,track_name,track_id,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,95,0.676,0.609,-5.831,0.481,0.0706,0,0.508,142.037
Lil Uzi Vert,That Way,5raTDhlbxFDnpn89bxArdH,86,0.719,0.611,-5.01,0.0403,0.0582,0,0.489,129.962
Lil Uzi Vert,Baby Pluto,7hav1MHURQf5SAoPk0egqh,85,0.772,0.634,-6.101,0.212,0.135,0,0.671,160.052
Lil Mosey,Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh,90,0.774,0.554,-7.909,0.0383,0.207,0,0.349,99.034
Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,94,0.808,0.745,-5.26,0.342,0.145,0,0.829,165.995
Lil Uzi Vert,Lo Mein,6CUP2khYzdphXebxVTfPE3,83,0.855,0.676,-5.736,0.325,0.0888,0,0.509,133.081
Lil Uzi Vert,P2,3kW4z2pIj5VY5fLjBrMRL5,84,0.775,0.72,-5.353,0.193,0.0236,0,0.49,155.086
Lil Uzi Vert,Silly Watch,5egD7A5x9AHdVO2fMo3Wbo,83,0.903,0.535,-6.238,0.286,0.0296,0,0.157,130.117
Lil Uzi Vert,Homecoming,6vxU64pcIuQ38O015Zy4qj,81,0.929,0.563,-7.428,0.49,0.000592,0,0.354,129.957
Jack Harlow,WHATS POPPIN,3Q6F8RByyhRTJpRtZLY3cg,88,0.923,0.604,-6.671,0.245,0.017,0,0.826,145.062
Lil Uzi Vert,Prices,4YcWzLSnGqLjSCycuSMHnn,81,0.786,0.684,-5.397,0.205,0.172,0,0.563,126.002
Bad Bunny,La Difícil,6NfrH0ANGmgBXyxgV2PeXt,92,0.685,0.848,-4.561,0.0858,0.0861,7.14E-06,0.761,179.87
Lil Uzi Vert,I'm Sorry,1xcOYJxDa5pObgxY1r0I9c,81,0.858,0.547,-5.822,0.29,0.213,0,0.304,128.02
Lil Uzi Vert,POP,1jDbQz6tr52WgScCTXMnaN,80,0.742,0.6,-6.668,0.418,0.00948,0,0.272,139.888
Lil Uzi Vert,Celebration Station,25B5fGr9K0VdZJiRFsnMO4,80,0.748,0.771,-4.156,0.15,0.101,0,0.792,142.087
Lil Uzi Vert,Bigger Than Life,2oHDJHNondITqbl8xZ9vPn,80,0.776,0.752,-4.711,0.194,0.325,0,0.716,140.008
Lil Uzi Vert,Venetia,3BYIzNZ3t9lRQCACXSMLrT,80,0.775,0.757,-4.139,0.202,0.162,0,0.557,142.933
Lil Uzi Vert,You Better Move,6YAxCn4juTWn5hWl2hzHGw,80,0.842,0.556,-6.793,0.442,0.159,0,0.306,118.836
The Weeknd,After Hours,4ejyZ4uJEXUURcgKp1kP8v,91,0.663,0.567,-5.941,0.0309,0.0938,0.00978,0.139,108.959
Lil Uzi Vert,Chrome Heart Tags,46mT9NR7N9Zf5MolcrBgE3,79,0.703,0.768,-4.055,0.0655,0.541,0,0.572,70.055
Lil Baby,Heatin Up (feat. Gunna),7KSSdFCBHCfq4KPzz78ghk,82,0.788,0.436,-9.435,0.364,0.0611,0,0.341,129.847
Justin Bieber,Intentions,364dI1bYnvamSnBJ8JcNzN,92,0.811,0.553,-6.644,0.0552,0.317,0,0.86,148.014
Lil Uzi Vert,Bust Me,4wBcaYqLPm7EtDVoJQORU4,78,0.736,0.703,-6.256,0.364,0.237,1.88E-06,0.614,151.886
